0,0,Plan Renewal,2019-09-10 18:37:44,The Netherlands,1
1,1242,Plan Renewal,2020-12-05 14:00:44,Poland,6
2,1472,Plan Renewal,2018-09-28 10:00:11,Austria,10
3,1717,Plan Renewal,2018-01-24 13:18:05,Germany,2
4,1179,Plan Renewal,2018-09-02 04:18:28,Austria,11
5,2581,Plan Renewal,2020-04-02 11:08:38,Germany,3
6,1528,Data Add-on,2020-05-10 04:46:17,The Netherlands,5
7,2629,Plan Renewal,2019-03-28 13:17:39,Germany,2
8,3153,New Sub,2018-07-28 09:21:35,The Netherlands,13
9,1616,Data Add-on,2021-03-10 23:39:36,Germany,6
10,2433,Data Add-on,2018-07-12 14:17:22,Belgium,0
11,2199,Plan Renewal,2020-01-27 16:08:05,The Netherlands,6
12,2955,Plan Renewal,2019-01-29 22:38:08,The Netherlands,5
13,2103,Plan Renewal,2021-08-14 22:51:26,Germany,13
14,1854,New Plan,2018-12-03 08:40:40,Poland,9
15,165,Plan Renewal,2019-11-28 19:47:27,The Netherlands,15
16,3154,New Sub,2020-03-26 11:36:37,Belgium,3
17,308,Plan Renewal,2018-02-18 19:08:56,Germany,7
18,1176,Plan Renewal,2019-04-02 08:24:37,Germany,9
19,1041,Data Add-on,2018-07-26 07:49:52,The Netherlands,13
20,3155,New Sub,2020-09-26 07:08:04,Austria,12
21,450,New Plan,2019-03-13 10:40:12,Germany,11
22,3156,New Sub,2020-01-07 02:01:19,Poland,1
23,2847,Plan Renewal,2020-07-30 17:54:24,Germany,11
24,2427,Plan Renewal,2021-08-15 21:05:48,Austria,13
25,1340,Plan Renewal,2020-07-07 18:17:10,Germany,8
26,994,Data Add-on,2019-08-08 07:36:10,Austria,0
27,2129,Plan Renewal,2018-05-15 05:53:42,Belgium,10
28,3157,New Sub,2020-05-11 04:09:19,France,10
29,438,SIM Change,2021-02-03 13:51:43,Germany,5
30,2533,Plan Renewal,2019-01-28 15:54:18,Belgium,8
31,2762,Plan Renewal,2020-12-06 23:17:06,Austria,6
32,2309,Plan Renewal,2018-10-25 17:36:16,Germany,5
33,498,Plan Renewal,2021-05-30 19:33:59,The Netherlands,4
34,2818,New Plan,2021-04-11 07:40:13,France,11
35,410,Plan Renewal,2019-02-26 07:19:53,Poland,11
36,1630,Plan Renewal,2018-03-06 20:20:07,Poland,1
37,2677,Data Add-on,2021-12-21 07:58:59,France,5
38,934,New Plan,2018-03-02 12:18:30,Belgium,2
39,1628,Plan Renewal,2018-07-09 22:45:59,Poland,6
40,2682,Plan Renewal,2019-02-23 06:19:41,Germany,2
41,3158,New Sub,2020-04-04 17:49:46,Austria,15
42,3159,New Sub,2019-02-04 18:18:30,Poland,5
43,1286,Plan Renewal,2020-10-16 13:35:40,Germany,12
44,2359,Plan Renewal,2020-02-28 05:00:53,Belgium,0
45,294,Data Add-on,2018-12-08 13:25:07,Poland,5
46,176,Plan Renewal,2021-08-22 19:30:26,France,7
47,1472,Plan Renewal,2019-07-02 00:08:05,Austria,10
48,621,Data Add-on,2018-06-07 07:41:45,Germany,4
49,2179,Data Add-on,2019-01-16 12:51:47,Austria,14
50,3160,New Sub,2020-11-30 09:11:29,Belgium,5
51,722,Plan Renewal,2021-09-03 13:55:41,Poland,11
52,325,New Plan,2021-09-28 22:15:09,Poland,1
53,821,Plan Renewal,2019-01-05 02:36:12,Germany,5
54,752,Plan Renewal,2018-06-15 09:48:44,Poland,6
55,3161,New Sub,2019-03-31 13:05:24,France,8
56,189,Plan Renewal,2018-12-26 04:58:02,Poland,7
57,285,Plan Renewal,2019-08-07 18:41:19,Poland,9
58,2631,Plan Renewal,2019-02-05 16:51:37,Germany,13
59,931,Plan Renewal,2020-07-09 06:56:16,Germany,7
60,1317,Plan Renewal,2018-11-07 09:15:41,Germany,8
61,1710,Plan Renewal,2020-12-07 20:14:11,Belgium,11
62,2321,Data Add-on,2020-03-01 10:52:04,Belgium,13
63,961,Plan Renewal,2018-03-16 00:40:25,Germany,11
64,2594,Plan Renewal,2019-12-21 20:22:00,Belgium,12
65,3092,Plan Renewal,2019-11-12 03:39:34,Germany,3
66,680,Plan Renewal,2020-10-27 22:44:36,France,3
67,527,Plan Renewal,2020-03-09 13:56:11,The Netherlands,0
68,2977,Plan Renewal,2021-01-05 19:00:16,France,15
69,2,Plan Renewal,2019-02-04 21:22:00,Germany,5
70,1711,Plan Renewal,2022-01-08 05:36:40,Poland,1
71,136,Plan Renewal,2020-01-20 13:18:54,Germany,10
72,3085,Plan Renewal,2020-05-20 19:20:55,The Netherlands,14
73,3162,New Sub,2018-08-23 23:34:37,Poland,15
74,231,Data Add-on,2018-04-17 22:36:19,Germany,13
75,274,Plan Renewal,2020-12-21 09:24:58,Belgium,14
76,1468,SIM Change,2020-01-23 17:07:46,France,7
77,1886,Plan Renewal,2020-12-07 19:49:37,Poland,12
78,8,Plan Renewal,2018-04-14 20:42:46,Germany,12
79,805,Plan Renewal,2018-06-30 02:43:48,France,0
80,269,Plan Renewal,2021-10-10 20:09:48,The Netherlands,12
81,2306,Plan Renewal,2021-09-22 00:38:39,Austria,8
82,3163,New Sub,2020-07-07 06:26:27,Belgium,5
83,3164,New Sub,2019-12-24 17:09:59,The Netherlands,4
84,476,Data Add-on,2021-12-20 13:52:28,Poland,6
85,2944,Plan Renewal,2021-04-22 14:20:12,Germany,5
86,808,Plan Renewal,2020-07-10 04:55:30,Austria,1
87,252,Plan Renewal,2021-08-06 03:58:58,Germany,4
88,2729,Plan Renewal,2019-04-18 11:15:49,Poland,4
89,1546,Data Add-on,2019-02-01 01:33:54,Germany,3
90,1838,Plan Renewal,2020-07-03 04:03:51,The Netherlands,5
91,1334,Plan Renewal,2021-11-04 18:28:12,Germany,12
92,184,New Plan,2018-11-14 09:21:56,Belgium,2
93,2983,Plan Renewal,2021-04-26 13:29:22,The Netherlands,2
94,3165,New Sub,2020-02-16 08:47:43,Poland,14
95,2955,Plan Renewal,2020-05-02 11:51:42,The Netherlands,5
96,3166,New Sub,2021-01-07 00:55:51,The Netherlands,10
97,1439,Data Add-on,2020-06-09 23:42:04,The Netherlands,4
98,346,Plan Renewal,2018-10-23 13:02:24,Belgium,9
99,3042,Plan Renewal,2018-09-28 07:29:06,France,1
100,3167,New Sub,2020-08-09 18:11:06,France,3
101,2531,Plan Renewal,2018-04-02 20:26:59,The Netherlands,1
102,2391,Plan Renewal,2021-05-29 05:41:30,France,11
103,3168,New Sub,2018-08-07 00:57:14,The Netherlands,5
104,3169,New Sub,2020-06-04 14:36:14,Poland,3
105,2602,Plan Renewal,2019-04-19 21:50:53,The Netherlands,5
106,265,Plan Renewal,2019-02-11 08:28:42,Belgium,9
107,1806,Plan Renewal,2021-04-13 23:04:01,Poland,15
108,2197,Plan Renewal,2018-03-20 04:11:36,The Netherlands,7
109,809,Plan Renewal,2018-05-29 22:22:26,The Netherlands,4
110,609,Data Add-on,2020-05-14 13:50:31,Germany,14
111,2992,Plan Renewal,2018-09-09 21:38:48,Poland,11
112,3170,New Sub,2021-03-04 10:21:04,The Netherlands,10
113,2292,Plan Renewal,2021-06-15 14:11:13,Poland,2
114,2640,Plan Renewal,2018-08-02 00:53:33,Germany,15
115,805,Plan Renewal,2020-10-28 07:32:38,France,0
116,73,New Plan,2020-09-25 22:01:30,France,9
117,290,Plan Renewal,2018-12-21 23:35:22,Austria,12
118,92,Plan Renewal,2021-06-24 11:10:28,Belgium,0
119,668,Plan Renewal,2018-05-04 15:38:01,Germany,2
120,1125,Plan Renewal,2021-10-25 21:41:59,Belgium,7
121,663,Plan Renewal,2020-04-12 07:36:44,France,13
122,1080,Plan Renewal,2020-12-16 00:42:49,The Netherlands,3
123,3171,New Sub,2018-04-14 20:51:50,Poland,12
124,2430,Plan Renewal,2021-07-09 07:29:18,Austria,1
125,3172,New Sub,2019-04-06 03:02:03,Germany,7
